,ent_num,Add_num,Address,City/State/Province/Postal Code,Country,Add_remarks
2440,9562,11955,c/o AGROPECUARIA PALMA DEL RIO S.A.,Ibague,Colombia,
2441,9562,11956,"Carrera 17 No. 91-42, Apt. 502",Bogota,Colombia,
2442,9563,11952,c/o AGROPECUARIA PALMA DEL RIO S.A.,Ibague,Colombia,
2443,9563,11953,"c/o RR TOUR, S.A. DE C.V.",Guadalajara,Mexico,
2444,9563,11954,Calle 6 No. 3-73,"Ibague, Tolima",Colombia,
2445,9564,11950,Carrera 16 No. 3-15,"Buga, Valle",Colombia,
2446,9564,11951,Calle 115 No. 9-50,Bogota,Colombia,
2447,9566,11944,Carrera 24C No. 33B-108,"Santa Monica, Casanare",Colombia,
2448,9566,11945,"Calle 1 No. 56-109, Seminario B, Caro 31",Cali,Colombia,
2449,9566,11946,Avenida 8N No. 9N-57,Cali,Colombia,
2450,9567,11942,Calle 16 No. 71A-07/09,Cali,Colombia,
2451,9567,11943,Carrera 1G No. 71-07,Cali,Colombia,
2452,9568,11938,Calle 22 No. 15-53,"Armenia, Quindio",Colombia,
2453,9568,11939,Calle 30 No. 23B-22,Cali,Colombia,
2454,9568,11940,Carrera 85 No. 14A-57,Cali,Colombia,
2455,9568,11941,"Calle 11 No. 4-442, Ofc. 722",Cali,Colombia,
2456,9570,11936,"Lopez Cotilla 1994, C.P. 44140",Guadalajara,Mexico,
2457,9571,11934,"Carrera 5 No. 29-32, C.C. La Quinta","Ibague, Tolima",Colombia,
2458,9571,11935,"Carrera 17 No. 91-42, Apt. 502",Bogota,Colombia,
2459,9572,11933,"Calle 21 No. 15-26, Ofc. 304","Armenia, Quindio",Colombia,
2460,9583,12037,,,,
2461,9584,12038,,,,
2462,9585,12039,,,,
2463,9586,12041,Schmidener Street 98,Stuttgart 70374,Germany,
2464,9586,12042,Stuttgart Prison,Stuttgart,Germany,
2465,9587,12044,Branderstrasse 28,Augsburg 86154,Germany,
2466,9587,23844,,Hauzenberg 94051,Germany,
2467,9588,12047,Lochhamer Str. 115,Munich 81477,Germany,
2468,9588,23845,,,Iraq,
2469,9589,12050,Kathe Dorsch Ring 21,Berlin 12353,Germany,
2470,9589,12051,Mannheim Prison,,Germany,
2471,9591,12056,Adolf-Braun Street 6,Nuremberg 90429,Germany,
2472,9591,12057,Fuerther Street 335,Nuremberg,Germany,
2473,9591,12058,Nuremberg Prison,,Germany,
2474,9593,24835,Refugee shelter Alte Ziegelei,Mainz 55128,Germany,
2475,9595,12067,,Birmingham,United Kingdom,
2476,9596,12069,,Birmingham,United Kingdom,
2477,9597,12071,,Birmingham,United Kingdom,
2478,9598,12073,,Manchester,United Kingdom,
2479,9599,12075,,Midlands,United Kingdom,
2480,9600,12077,104 Smithdown Road,"Liverpool, Merseyside L7 4JQ",United Kingdom,
2481,9600,12078,2a Hartington Road,Liverpool L8 0SG,United Kingdom,
2482,9601,12080,44 Upper Belgrave Road,"Clifton, Bristol BS8 2XN",United Kingdom,
2483,9602,12082,88 Smithdown Road,Liverpool L7 4JQ,United Kingdom,
2484,9603,12084,63 South Road,"Sparkbrook, Birmingham B11 1EX",United Kingdom,
2485,9603,12085,1011 Stockport Road,"Levenshulme, Manchester M9 2TB",United Kingdom,
2486,9603,12086,P.O. Box 50,Manchester M19 2SP,United Kingdom,
2487,9603,12087,98 Gresham Road,Middlesbrough,United Kingdom,
2488,9603,12088,54 Anson Road,London NW2 6AD,United Kingdom,
2489,9608,12101,,,,
2490,9609,12103,"Al Manar TV, Abed al Nour Street, Haret Hriek",Beirut,Lebanon,
2491,9609,12104,PO Box 354/25,Beirut,Lebanon,
2492,9610,12106,"Al Manar Building, Ahmad Kassir Street, Haret Hriek, Baabda",,Lebanon,
